name,handedness,height,weight,avg,HR,weight_HR_mean,weight_counts
Bill Wilkinson,R,70,160,0.0,0,33.875,50.0
Joe Lovitto,B,72,185,0.216,4,39.2727272727,122.0
Mike Loynd,R,76,210,0.0,0,49.28,33.0
Wayne Comer,R,70,175,0.229,16,34.3382352941,118.0
Dave Collins,B,71,175,0.272,32,17.7272727273,118.0
Ed Spiezio,R,71,180,0.238,39,34.4868421053,134.0
Rico Petrocelli,R,72,175,0.251,210,34.3382352941,118.0
Johnny Lewis,L,73,189,0.227,22,22.0,4.0
Dick Simpson,R,76,176,0.207,15,7.66666666667,4.0
Ken Boswell,L,72,170,0.248,31,52.875,94.0
Ken McMullen,R,75,190,0.248,156,51.0,120.0
Randy Scarbery,B,73,185,0.0,0,39.2727272727,122.0
Steve Swisher,R,74,205,0.216,20,28.1818181818,48.0
Ben Callahan,R,79,230,0.0,0,3.0,4.0
Dick Howser,R,68,155,0.248,16,24.5,15.0
Manny Castillo,B,69,160,0.242,3,28.75,50.0
Mike Ramsey,B,73,170,0.24,2,13.1818181818,94.0
Willie Crawford,L,73,197,0.268,86,73.0,7.0
Bobby Cuellar,R,71,188,0.0,0,21.6666666667,8.0
Willie Norwood,R,72,185,0.242,18,33.0921052632,122.0
Mike Jones,L,78,215,0.0,0,63.75,23.0
Jeff Stone,L,72,175,0.277,11,47.3076923077,118.0
Ramon Manon,R,72,150,0.0,0,58.375,12.0
Joe Lahoud,L,73,198,0.223,65,39.0,4.0
Tim Flannery,L,71,175,0.255,9,47.3076923077,118.0
Dave McKay,B,73,195,0.229,21,17.1428571429,99.0
John Trautwein,R,75,205,0.0,0,28.1818181818,48.0
Andy Replogle,R,77,205,0.0,0,28.1818181818,48.0
Zach Crouch,L,75,180,0.0,0,43.6818181818,134.0
Benny Ayala,R,73,185,0.251,38,33.0921052632,122.0
Ron Romanick,R,76,195,0.0,0,54.6101694915,99.0
Greg Gross,L,70,160,0.287,7,73.5714285714,50.0
Bruce Tanner,L,75,220,0.0,0,39.2857142857,12.0
Sal Butera,R,72,190,0.227,8,51.0,120.0
Jack Brohamer,L,70,165,0.245,30,44.2142857143,57.0
Von Joshua,L,70,170,0.273,30,52.875,94.0
Eddie Milner,L,71,173,0.253,42,47.3333333333,5.0
Johnny Jeter,R,73,180,0.244,18,34.4868421053,134.0
Angel Salazar,R,72,180,0.212,2,34.4868421053,134.0
Tony Oliva,L,73,175,0.304,220,47.3076923077,118.0
Cito Gaston,R,75,190,0.256,91,51.0,120.0
Cookie Rojas,R,70,160,0.263,54,33.875,50.0
Rich Morales,R,71,170,0.195,6,28.9491525424,94.0
Dave Ford,R,76,190,0.0,0,51.0,120.0
Dan Ford,R,73,185,0.27,121,33.0921052632,122.0
Barry Raziano,B,70,175,0.0,0,17.7272727273,118.0
Darryl Motley,R,69,196,0.243,44,44.0,4.0
Ozzie Virgil,R,73,180,0.243,98,34.4868421053,134.0
Johnny Oates,L,71,188,0.25,14,137.5,8.0
Pat Underwood,L,72,175,0.0,0,47.3076923077,118.0
Mike Phillips,L,72,170,0.24,11,52.875,94.0
Ron Santo,R,72,190,0.277,342,51.0,120.0
Jay Johnstone,L,73,175,0.267,102,47.3076923077,118.0
Jim Ray Hart,R,71,185,0.278,170,33.0921052632,122.0
Marc Hill,R,75,205,0.223,34,28.1818181818,48.0
Joel McKeon,L,72,185,0.0,0,51.9428571429,122.0
Danny Fife,R,75,175,0.0,0,34.3382352941,118.0
Chico Salmon,R,70,160,0.249,31,33.875,50.0
Joe Niekro,R,73,185,0.156,1,33.0921052632,122.0
Andy Etchebarren,R,73,190,0.235,49,51.0,120.0
Ken Berry,R,72,175,0.255,58,34.3382352941,118.0
Dave Concepcion,R,74,155,0.267,101,24.5,15.0
Junior Moore,R,71,185,0.264,7,33.0921052632,122.0
Mike Richardt,R,72,170,0.226,4,28.9491525424,94.0
Chris Brown,R,72,185,0.269,38,33.0921052632,122.0
Al Bumbry,L,68,170,0.281,54,52.875,94.0
Al Downing,R,71,175,0.127,2,34.3382352941,118.0
Bob Didier,B,72,190,0.229,0,27.0,120.0
Jake Gibbs,L,72,180,0.233,25,43.6818181818,134.0
Garry Hancock,L,72,175,0.247,12,47.3076923077,118.0
Ed Kranepool,L,75,205,0.261,118,44.6666666667,48.0
Rick Rhoden,R,75,195,0.238,9,54.6101694915,99.0
Denny McLain,R,73,185,0.133,1,33.0921052632,122.0
Chuck Hiller,L,71,170,0.243,20,52.875,94.0
Jorge Orta,L,70,170,0.278,130,52.875,94.0
Dave Cash,R,71,170,0.283,21,28.9491525424,94.0
Bucky Dent,R,69,170,0.247,40,28.9491525424,94.0
Andy Beene,R,75,205,0.0,0,28.1818181818,48.0
Bruce Robbins,L,73,190,0.0,0,62.9583333333,120.0
Tony Gonzalez,L,69,170,0.286,103,52.875,94.0
Leon Hooten,R,71,180,0.0,0,34.4868421053,134.0
Larry Haney,R,74,195,0.215,12,54.6101694915,99.0
Billy Conigliaro,R,72,180,0.256,40,34.4868421053,134.0
Gary Roenicke,R,75,205,0.247,121,28.1818181818,48.0
Don Lock,R,74,195,0.238,122,54.6101694915,99.0
Billy Cowan,R,72,170,0.236,40,28.9491525424,94.0
Billy Smith,B,74,185,0.23,17,39.2727272727,122.0
Allan Ramirez,R,70,180,0.0,0,34.4868421053,134.0
Tony Perez,R,74,175,0.279,379,34.3382352941,118.0
Chuck Schilling,R,70,160,0.239,23,33.875,50.0
Hal McRae,R,71,180,0.29,191,34.4868421053,134.0
Dave Roberts,R,75,215,0.239,49,51.3157894737,23.0
Brian Allard,R,73,175,0.0,0,34.3382352941,118.0
Jim Lefebvre,B,72,180,0.251,74,69.6428571429,134.0
Fernando Arroyo,R,74,180,0.0,0,34.4868421053,134.0
Gary Beare,R,76,205,0.0,0,28.1818181818,48.0
Charlie Spikes,R,75,215,0.246,65,51.3157894737,23.0
Brian Dubois,L,70,165,0.0,0,44.2142857143,57.0
Steve Whitaker,L,72,180,0.23,24,43.6818181818,134.0
Manny Jimenez,L,73,185,0.272,26,51.9428571429,122.0
Chris Batton,R,76,195,0.0,0,54.6101694915,99.0
Duffy Dyer,R,72,187,0.221,30,57.9,11.0
Ken Henderson,B,74,180,0.257,122,69.6428571429,134.0
Vance Lovelace,L,77,205,0.0,0,44.6666666667,48.0
Greg Thayer,R,71,182,0.0,0,71.4,8.0
Vern Fuller,R,73,170,0.232,14,28.9491525424,94.0
Paul Hartzell,R,77,200,0.0,0,65.9782608696,64.0
Wayne Gross,L,74,210,0.233,121,40.4285714286,33.0
Mike Champion,R,72,185,0.229,2,33.0921052632,122.0
Ralph Botting,L,72,195,0.0,0,74.1212121212,99.0
Paul Casanova,R,76,180,0.225,50,34.4868421053,134.0
Steve Rogers,R,74,175,0.138,0,34.3382352941,118.0
Keith Creel,R,74,180,0.0,0,34.4868421053,134.0
Terry Crowley,L,72,180,0.25,42,43.6818181818,134.0
Horace Clarke,B,69,170,0.256,27,13.1818181818,94.0
Lou Clinton,R,73,185,0.247,65,33.0921052632,122.0
Larry Cox,R,70,178,0.221,12,20.7777777778,10.0
Nate Colbert,R,74,190,0.243,173,51.0,120.0
Phil Roof,R,74,190,0.215,43,51.0,120.0
Chuck Hinton,R,73,180,0.264,113,34.4868421053,134.0
Tim Cullen,R,73,185,0.22,9,33.0921052632,122.0
Tim Harkness,L,74,182,0.235,14,25.3333333333,8.0
Rick Bosetti,R,71,185,0.25,17,33.0921052632,122.0
Ron Pruitt,R,72,185,0.269,12,33.0921052632,122.0
George Foster,R,73,180,0.274,348,34.4868421053,134.0
Jerry White,B,70,164,0.253,21,19.0,3.0
Angel Mangual,R,70,178,0.245,22,20.7777777778,10.0
Ken Gerhart,R,72,190,0.221,24,51.0,120.0
Mike Hershberger,R,70,175,0.252,26,34.3382352941,118.0
Jim French,L,68,180,0.196,5,43.6818181818,134.0
Dave Roberts,L,75,195,0.194,7,74.1212121212,99.0
Jim Mason,L,74,185,0.203,12,51.9428571429,122.0
Mike Smith,R,75,180,0.0,0,34.4868421053,134.0
Willie Smith,L,72,182,0.248,46,25.3333333333,8.0
T.R. Bryden,R,76,190,0.0,0,51.0,120.0
Jose Arcia,R,75,170,0.215,1,28.9491525424,94.0
Leon Durham,L,73,185,0.277,147,51.9428571429,122.0
Tom Makowski,R,71,185,0.0,0,33.0921052632,122.0
Paul Householder,B,72,180,0.236,29,69.6428571429,134.0
Aurelio Rodriguez,R,70,180,0.237,124,34.4868421053,134.0
Jimmy Stewart,B,72,165,0.237,8,10.6,57.0
Dick Phillips,L,72,180,0.229,12,43.6818181818,134.0
Andres Thomas,R,73,170,0.234,42,28.9491525424,94.0
Ed Crosby,L,74,175,0.22,0,47.3076923077,118.0
Mike de la Hoz,R,71,175,0.251,25,34.3382352941,118.0
Frank Taveras,R,72,155,0.255,2,24.5,15.0
Joe Nossek,R,72,178,0.228,3,20.7777777778,10.0
Larry Stahl,L,72,175,0.232,36,47.3076923077,118.0
Jose Cruz,L,72,170,0.284,165,52.875,94.0
Don Mason,L,71,160,0.205,3,73.5714285714,50.0
Bill Robinson,R,74,189,0.258,166,89.0,4.0
Jim Umbarger,L,78,200,0.0,0,55.5333333333,64.0
Sal Bando,R,72,195,0.254,242,54.6101694915,99.0
George Mitterwald,R,74,195,0.236,76,54.6101694915,99.0
Mike Darr,R,76,190,0.0,0,51.0,120.0
Craig Robinson,R,70,165,0.219,0,33.5526315789,57.0
Bob Tillman,R,76,205,0.232,79,28.1818181818,48.0
Curt Wardle,L,77,220,0.0,0,39.2857142857,12.0
Pat Corrales,R,72,180,0.216,4,34.4868421053,134.0
Mike Tyson,R,69,170,0.241,27,28.9491525424,94.0
Rafael Landestoy,B,70,165,0.237,4,10.6,57.0
Duane Josephson,R,72,190,0.258,23,51.0,120.0
Duane Walker,L,72,185,0.229,24,51.9428571429,122.0
Glenn Hubbard,R,69,150,0.244,70,58.375,12.0
Roger Freed,R,72,190,0.245,22,51.0,120.0
George Hendrick,R,75,195,0.278,267,54.6101694915,99.0
Rod Carew,L,72,170,0.328,92,52.875,94.0
Bob Davis,R,72,180,0.197,6,34.4868421053,134.0
Toby Harrah,R,72,175,0.264,195,34.3382352941,118.0
Rick Manning,L,73,180,0.257,56,43.6818181818,134.0
Israel Sanchez,L,69,170,0.0,0,52.875,94.0
Steve Burke,B,74,200,0.0,0,2.0,64.0
Gary Matthews,R,74,185,0.281,234,33.0921052632,122.0
Cesar Geronimo,L,72,165,0.258,51,44.2142857143,57.0
Billy Bryan,L,76,200,0.216,41,55.5333333333,64.0
Terry Taylor,R,73,180,0.0,0,34.4868421053,134.0
Terry Whitfield,L,73,197,0.281,33,73.0,7.0
Mario Mendoza,R,71,170,0.215,4,28.9491525424,94.0
Fred Lynn,L,73,185,0.283,306,51.9428571429,122.0
Larry Hisle,R,74,193,0.273,166,66.8,9.0
Graig Nettles,L,72,180,0.248,390,43.6818181818,134.0
Randy Nosek,R,76,215,0.0,0,51.3157894737,23.0
Dave Engle,R,75,210,0.262,31,49.28,33.0
Narciso Elvira,L,70,160,0.0,0,73.5714285714,50.0
Mike Easler,L,72,190,0.293,118,62.9583333333,120.0
Mark Smith,R,74,215,0.0,0,51.3157894737,23.0
Paul Mitchell,R,73,195,0.0,0,54.6101694915,99.0
Rick Sweet,B,73,200,0.234,6,2.0,64.0
Thurman Munson,R,71,190,0.292,113,51.0,120.0
Rick Monday,L,75,193,0.264,241,214.5,9.0
Mike Sadek,R,69,165,0.226,5,33.5526315789,57.0
Mark Belanger,R,73,170,0.228,20,28.9491525424,94.0
Ron Hunt,R,72,186,0.273,39,19.5,4.0
Joe Keough,L,72,185,0.246,9,51.9428571429,122.0
Butch Edge,R,75,203,0.0,0,66.6666666667,3.0
Vic Correll,R,70,185,0.229,29,33.0921052632,122.0
Jackie Hernandez,R,71,165,0.208,12,33.5526315789,57.0
Tony Solaita,L,72,210,0.255,50,40.4285714286,33.0
U L Washington,B,71,175,0.251,27,17.7272727273,118.0
Gary Mielke,R,75,185,0.0,0,33.0921052632,122.0
Rick Henninger,R,78,225,0.0,0,23.0,3.0
Joe Foy,R,72,215,0.248,58,51.3157894737,23.0
Ed Goodson,L,75,180,0.26,30,43.6818181818,134.0
Mark Brown,B,74,190,0.0,0,27.0,120.0
Mickey Klutts,R,71,170,0.241,14,28.9491525424,94.0
Leroy Stanton,R,73,195,0.244,77,54.6101694915,99.0
Rafael Vasquez,R,72,160,0.0,0,33.875,50.0
Len Whitehouse,L,71,175,0.0,0,47.3076923077,118.0
Danny Ainge,R,76,175,0.22,2,34.3382352941,118.0
Adolfo Phillips,R,73,175,0.247,59,34.3382352941,118.0
Marv Breeding,R,72,175,0.25,7,34.3382352941,118.0
Steve Adkins,R,78,210,0.0,0,49.28,33.0
Dick McAuliffe,L,71,176,0.247,197,197.0,4.0
Joe Horlen,R,72,170,0.134,0,28.9491525424,94.0
Glenn Burke,R,72,195,0.237,2,54.6101694915,99.0
Tony Mack,R,70,177,0.0,0,0.0,2.0
Terry Humphrey,R,75,185,0.211,6,33.0921052632,122.0
Bill Moran,R,76,210,0.0,0,49.28,33.0
Enzo Hernandez,R,68,155,0.224,2,24.5,15.0
Cesar Gutierrez,R,69,155,0.235,0,24.5,15.0
Coco Laboy,R,70,165,0.233,28,33.5526315789,57.0
Ted Kubiak,B,72,175,0.231,13,17.7272727273,118.0
Jim Morrison,R,71,175,0.26,112,34.3382352941,118.0
Tom Gilles,R,73,185,0.0,0,33.0921052632,122.0
Bobby Knoop,R,73,170,0.236,56,28.9491525424,94.0
Bobby Brown,B,74,190,0.245,26,27.0,120.0
Tom Hutton,L,71,180,0.248,22,43.6818181818,134.0
Ron Hodges,L,73,185,0.24,19,51.9428571429,122.0
Rich Chiles,L,71,170,0.254,6,52.875,94.0
Tom Paciorek,R,76,215,0.282,86,51.3157894737,23.0
Gary Woods,R,74,185,0.243,13,33.0921052632,122.0
Bob Montgomery,R,73,195,0.258,23,54.6101694915,99.0
Jeff Burroughs,R,73,200,0.261,240,65.9782608696,64.0
Rusty Staub,L,74,190,0.279,292,62.9583333333,120.0
Jim Norris,L,70,175,0.264,7,47.3076923077,118.0
Oscar Gamble,L,71,160,0.265,200,73.5714285714,50.0
Bob Kammeyer,R,76,210,0.0,0,49.28,33.0
George Vukovich,L,72,198,0.268,27,39.0,4.0
Joe Pactwa,L,71,185,0.0,0,51.9428571429,122.0
Craig Reynolds,L,73,175,0.256,42,47.3076923077,118.0
Paul Blair,R,72,168,0.25,134,80.0,3.0
Al Cowens,R,73,197,0.27,108,125.0,7.0
Al Oliver,L,72,195,0.303,219,74.1212121212,99.0
Dave Hilton,R,71,191,0.213,6,6.0,1.0
Luis Alvarado,R,69,162,0.214,5,28.6666666667,3.0
Larry Parrish,R,75,190,0.263,256,51.0,120.0
Woodie Fryman,R,75,197,0.138,2,125.0,7.0
Bob Randall,R,74,175,0.257,1,34.3382352941,118.0
Jim Pankovits,R,70,170,0.25,9,28.9491525424,94.0
Sherman Corbett,L,76,205,0.0,0,44.6666666667,48.0
Carmen Fanzone,R,72,200,0.224,20,65.9782608696,64.0
Gary Allenson,R,71,185,0.221,19,33.0921052632,122.0
Milt May,L,72,190,0.263,77,62.9583333333,120.0
Mike Vail,R,73,180,0.279,34,34.4868421053,134.0
Nick Esasky,R,75,200,0.25,122,65.9782608696,64.0
Jim Nettles,L,72,186,0.22,16,56.0,4.0
Lafayette Currence,B,71,175,0.0,0,17.7272727273,118.0
Chris Cannizzaro,R,72,190,0.235,18,51.0,120.0
Larry Biittner,L,74,205,0.273,29,44.6666666667,48.0
John Pawlowski,R,74,175,0.0,0,34.3382352941,118.0
Mel Stottlemyre,R,73,178,0.16,7,20.7777777778,10.0
Jack Hardy,R,74,175,0.0,0,34.3382352941,118.0
Ron Musselman,R,74,185,0.0,0,33.0921052632,122.0
Roy Smalley,B,73,185,0.257,163,39.2727272727,122.0
Tony Chevez,R,71,177,0.0,0,0.0,2.0
Andy Messersmith,R,73,200,0.17,5,65.9782608696,64.0
Richie Zisk,R,73,200,0.287,207,65.9782608696,64.0
Dave Chalk,R,70,175,0.252,15,34.3382352941,118.0
Don Baylor,R,73,190,0.26,338,51.0,120.0
John Vukovich,R,73,187,0.161,6,57.9,11.0
Danny Thompson,R,72,183,0.248,15,70.75,7.0
Joe Simpson,L,75,175,0.242,9,47.3076923077,118.0
Bill Fahey,L,72,200,0.241,7,55.5333333333,64.0
Doug Camilli,R,71,195,0.199,18,54.6101694915,99.0
Bernie Allen,L,72,175,0.239,73,47.3076923077,118.0
Bruce Bochy,R,75,205,0.239,26,28.1818181818,48.0
Gary Ignasiak,R,71,185,0.0,0,33.0921052632,122.0
Claudell Washington,L,72,190,0.278,164,62.9583333333,120.0
John Donaldson,L,71,160,0.238,4,73.5714285714,50.0
Mike Smithson,L,80,215,0.0,0,63.75,23.0
John Mayberry,L,75,215,0.253,255,63.75,23.0
Ken Reitz,R,72,180,0.26,68,34.4868421053,134.0
Amos Otis,R,71,165,0.277,193,33.5526315789,57.0
Gene Alley,R,70,160,0.254,55,33.875,50.0
Ted Sizemore,R,70,165,0.262,23,33.5526315789,57.0
Dan Briggs,L,72,180,0.195,12,43.6818181818,134.0
Joe Skalski,R,75,190,0.0,0,51.0,120.0
Doug Flynn,R,71,165,0.238,7,33.5526315789,57.0
Bert Bradley,B,73,190,0.0,0,27.0,120.0
Ken Holtzman,R,74,175,0.163,2,34.3382352941,118.0
Pete Ward,L,73,185,0.254,98,51.9428571429,122.0
Kevin Bell,R,72,195,0.222,13,54.6101694915,99.0
Tom Nieto,R,73,193,0.205,5,66.8,9.0
Duke Sims,L,74,197,0.239,100,73.0,7.0
Larvell Blanks,R,68,167,0.253,20,11.5,2.0
Francisco Barrios,R,71,155,0.0,0,24.5,15.0
Mike Davis,L,74,175,0.259,91,47.3076923077,118.0
Jerry Reuss,L,77,200,0.167,1,55.5333333333,64.0
Steve Yeager,R,72,190,0.228,102,51.0,120.0
Danny Goodwin,L,73,195,0.236,13,74.1212121212,99.0
Bud Harrelson,B,71,160,0.236,7,28.75,50.0
Bob Knepper,L,75,195,0.137,6,74.1212121212,99.0
Mickey Rivers,L,70,165,0.295,61,44.2142857143,57.0
Jim Northrup,L,75,190,0.267,153,62.9583333333,120.0
John Hale,L,74,195,0.201,14,74.1212121212,99.0
Reggie Ritter,L,74,195,0.0,0,74.1212121212,99.0
Pedro Garcia,R,70,175,0.22,37,34.3382352941,118.0
Carl Yastrzemski,L,71,175,0.285,452,47.3076923077,118.0
Bob Babcock,R,77,210,0.0,0,49.28,33.0
Craig Eaton,R,71,175,0.0,0,34.3382352941,118.0
Derrel Thomas,B,72,160,0.249,43,28.75,50.0
Art Howe,R,74,190,0.26,43,51.0,120.0
Ike Brown,R,72,190,0.256,20,51.0,120.0
Howie Goss,R,76,204,0.216,11,11.0,2.0
Glenn Borgmann,R,76,210,0.229,16,49.28,33.0
Lamar Johnson,R,74,215,0.287,64,51.3157894737,23.0
Julio Gonzalez,R,71,162,0.235,4,28.6666666667,3.0
Bobby Klaus,R,70,170,0.208,6,28.9491525424,94.0
Manny Sanguillen,R,72,193,0.296,65,66.8,9.0
Gates Brown,L,71,220,0.257,84,39.2857142857,12.0
Johnny Ray,B,71,170,0.29,53,13.1818181818,94.0
Jesus Alou,R,74,190,0.28,32,51.0,120.0
Ken Landreaux,L,70,165,0.268,91,44.2142857143,57.0
Enos Cabell,R,76,170,0.277,60,28.9491525424,94.0
Roy Branch,R,72,175,0.0,0,34.3382352941,118.0
Billy North,B,71,185,0.261,20,39.2727272727,122.0
Juan Beniquez,R,71,150,0.274,79,58.375,12.0
Frank Fernandez,R,72,185,0.199,39,33.0921052632,122.0
Bombo Rivera,R,70,187,0.265,10,57.9,11.0
Steve Brye,R,72,190,0.258,30,51.0,120.0
Ron Jackson,R,72,200,0.259,56,65.9782608696,64.0
Roger Metzger,B,72,165,0.231,5,10.6,57.0
Rufino Linares,R,72,170,0.27,11,28.9491525424,94.0
Ray Webster,L,72,185,0.244,17,51.9428571429,122.0
Bob Kearney,R,72,190,0.233,27,51.0,120.0
Fergie Jenkins,R,77,205,0.165,13,28.1818181818,48.0
Dick Dietz,R,73,195,0.261,66,54.6101694915,99.0
Ted Cox,R,75,195,0.245,10,54.6101694915,99.0
Bobby Mitchell,L,70,170,0.243,3,52.875,94.0
Bobby Mitchell,R,75,185,0.235,21,33.0921052632,122.0
Barry Evans,R,73,180,0.251,2,34.4868421053,134.0
Mickey Brantley,R,70,180,0.259,32,34.4868421053,134.0
Al Gallagher,R,72,180,0.263,11,34.4868421053,134.0
Rob Woodward,R,75,185,0.0,0,33.0921052632,122.0
Hector Cruz,R,71,170,0.225,39,28.9491525424,94.0
